'19851','ENERO-JUNIO/1985              ','ENE-JUN/1985','I',1985-01-01 00:00:00.0,1985-06-01 00:00:00.0,,,80,,,,,,,,,1985-06-02 00:00:00.0,1985-07-30 00:00:00.0
'19853','AGOSTO-DICIEMBRE/1985         ','AGO-DIC/1985','1',1985-08-01 00:00:00.0,1985-12-06 00:00:00.0,,,80,,,,,,,,,1985-12-02 00:00:00.0,1986-01-07 00:00:00.0
'19861','ENERO-JUNIO/1986              ','ENE-JUN/1986','I',1986-01-01 00:00:00.0,1986-06-01 00:00:00.0,,,80,,,,,,,,,1986-06-02 00:00:00.0,1986-07-30 00:00:00.0
'19863','AGOSTO-DICIEMBRE/1986         ','AGO-DIC/1986','1',1986-08-01 00:00:00.0,1986-12-06 00:00:00.0,,,80,,,,,,,,,1986-12-02 00:00:00.0,1987-01-07 00:00:00.0
'19871','ENERO-JUNIO/1987              ','ENE-JUN/1987','I',1987-01-01 00:00:00.0,1987-06-01 00:00:00.0,,,80,,,,,,,,,1987-06-02 00:00:00.0,1987-07-30 00:00:00.0
'19873','AGOSTO-DICIEMBRE/1987         ','AGO-DIC/1987','1',1987-08-01 00:00:00.0,1987-12-06 00:00:00.0,,,80,,,,,,,,,1987-12-02 00:00:00.0,1988-01-07 00:00:00.0
'19881','ENERO-JUNIO/1988              ','ENE-JUN/1988','I',1988-01-01 00:00:00.0,1988-06-01 00:00:00.0,,,80,,,,,,,,,1988-06-02 00:00:00.0,1988-07-30 00:00:00.0
'19883','AGOSTO-DICIEMBRE/1988         ','AGO-DIC/1988','1',1988-08-01 00:00:00.0,1988-12-06 00:00:00.0,,,80,,,,,,,,,1988-12-02 00:00:00.0,1989-01-07 00:00:00.0
'19891','ENERO-JUNIO/1989              ','ENE-JUN/1989','I',1989-01-01 00:00:00.0,1989-06-01 00:00:00.0,,,80,,,,,,,,,1989-06-02 00:00:00.0,1989-07-30 00:00:00.0
'19893','AGOSTO-DICIEMBRE/1989         ','AGO-DIC/1989','1',1989-08-01 00:00:00.0,1989-12-06 00:00:00.0,,,80,,,,,,,,,1989-12-02 00:00:00.0,1990-01-07 00:00:00.0
'19901','ENERO-JUNIO/1990              ','ENE-JUN/1990','I',1990-01-01 00:00:00.0,1990-06-01 00:00:00.0,,,80,,,,,,,,,1990-06-02 00:00:00.0,1990-07-30 00:00:00.0
'19903','AGOSTO-DICIEMBRE/1990         ','AGO-DIC/1990','1',1990-08-01 00:00:00.0,1990-12-06 00:00:00.0,,,80,,,,,,,,,1990-12-02 00:00:00.0,1991-01-07 00:00:00.0
'19911','ENERO-JUNIO/1991              ','ENE-JUN/1991','o',2009-08-17 00:00:00.0,2009-08-17 00:00:00.0,,,80,,,,,,,,,,
'19913','AGOSTO-DICIEMBRE/1991         ','AGO-DIC/1991','1',1991-08-01 00:00:00.0,1991-12-06 00:00:00.0,,,80,,,,,,,,,1991-12-02 00:00:00.0,1992-01-07 00:00:00.0
'19921','ENERO-JUNIO/1992              ','ENE-JUN/1992','I',1992-01-01 00:00:00.0,1992-06-01 00:00:00.0,,,80,,,,,,,,,1992-06-02 00:00:00.0,1992-07-30 00:00:00.0
'19923','AGOSTO-DICIEMBRE/1992         ','AGO-DIC/1992','1',1992-08-01 00:00:00.0,1992-12-06 00:00:00.0,,,80,,,,,,,,,1992-12-02 00:00:00.0,1993-01-07 00:00:00.0
'19931','ENERO-JUNIO/1993              ','ENE-JUN/1993','I',1993-01-01 00:00:00.0,1993-06-01 00:00:00.0,,,80,,,,,,,,,1993-06-02 00:00:00.0,1993-07-30 00:00:00.0
