               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
01EMS0006R     ,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) IGNACIO ZARAGOZA                   ,1,JESUS MARIA,GENERAL IGNACIO ZARAGOZA (VENADERO),BACHILLERATO GENERAL DE 3 AÑOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01EMS0007Q     ,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) VILLA LIC. JESUS TERAN             ,1,AGUASCALIENTES,VILLA LIC. JESUS TERAN (CALVILLITO),BACHILLERATO GENERAL DE 3 AÑOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01EMS0008P     ,EDUCACION MEDIO SUPERIOR A DISTANCIA (EMSAD) SAN JACINTO                        ,1,RINCON DE ROMOS,SAN JACINTO,BACHILLERATO GENERAL DE 3 AÑOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0001E     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL ASIENTOS      ,1,ASIENTOS,ASIENTOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0002D     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL RINCON DE ROMO,1,RINCON DE ROMOS,RINCON DE ROMOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0003C     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL SAN FRANCISCO ,1,SAN FRANCISCO DE LOS ROMO,SAN FRANCISCO DE LOS ROMO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0004B     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PALNTEL CIUDAD SATELIT,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0006Z     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL PABELLON DE AR,1,PABELLON DE ARTEAGA,PABELLON DE ARTEAGA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0007Z     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL FERROCARRILES ,1,AGUASCALIENTES,AGUASCALIENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
01ETC0008Y     ,COLEGIO DE ESTUDIOS CIENTIFICOS Y TECNOLOGICOS DEL ESTADO PLANTEL CALVILLO      ,1,CALVILLO,CALVILLO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,ORGANISMO DESCENTRALIZADO DEL GOBIERNO DEL ESTADO
