               ,ESCUELA PREPARATORIA NUM. 3\\ TURNO MATUTINO                                     ,24,SAN LUIS POTOSI,aaa,,
09PBH8042K     ,INSTITUTO MANUEL ACOSTA                                                         ,9,CUAUHTEMOC,CUAUHTEMOC,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8045H     ,INSTITUTO QUEBEC\\ A.C.                                                          ,9,TLALPAN,SAN PEDRO MARTIR,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8047F     ,LA ESCUELA DE LANCASTER\\ A.C.                                                   ,9,TLALPAN,TLALPAN,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8050T     ,PREPARATORIA ATENIENSE\\ A.C.                                                    ,9,GUSTAVO A. MADERO,GUADALUPE TEPEYAC,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8051S     ,PREPARATORIA INSTITUTO REFORMA                                                  ,9,IZTAPALAPA,EL RETONO,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8052R     ,PRAPARATORIA JOSE P. CACHO                                                      ,9,COYOACAN,EDUCACION,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8055O     ,PREPARATORIA OVIEDO SCHONTHAL                                                   ,9,TLALPAN,LA JOYA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8056N     ,PREPARATORIA PARTICULAR FRANCISCO LARROYO                                       ,9,TLAHUAC,SANTA CECILIA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8060Z     ,UNIVERSIDAD DEL VALLE DE MEXICO\\ A.C.                                           ,9,TLALPAN,HDA DE SAN JUAN DE TLALPAN II,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PBH8064W     ,CENTRO ESCOLAR ATOYAC                                                           ,9,GUSTAVO A. MADERO,TABLAS DE SAN AGUSTIN,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0001N     ,IGNACIO MANUEL ALTAMIRANO                                                       ,9,MIGUEL HIDALGO,ESCANDON,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0003L     ,INSTITUTO CULTURAL FRANCES                                                      ,9,MIGUEL HIDALGO,PERIODISTA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0005J     ,PERIODISMO Y ARTE EN RADIO Y TELEVISION                                         ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0006I     ,INSTITUTO COBRE DE MEXICO                                                       ,9,AZCAPOTZALCO,OBRERO POPULAR,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0008G     ,INSTITUTO OSCAR GONZALEZ BLAKALLER                                              ,9,GUSTAVO A. MADERO,SAN BARTOLO ATEPEHUACAN,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0011U     ,INSTITUTO TLAMATINIME                                                           ,9,IZTAPALAPA,PASEOS DE CHURUBUSCO,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0013S     ,INSTITUTO PEDAGOGICO IBEROAMERICANO A.C.                                        ,9,IZTAPALAPA,GRANJAS ESMERALDA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0014R     ,ANGEL DE CAMPO                                                                  ,9,IZTAPALAPA,PUEBLO SN SEBASTIAN TECOLOXTITLA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0015Q     ,COLEGIO BOSQUES CONTADERO                                                       ,9,CUAJIMALPA DE MORELOS,CUAJIMALPA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0017O     ,COLEGIO SOR JUANA INES DE LA CRUZ                                               ,9,CUAUHTEMOC,CONDESA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCB0018N     ,COLEGIO GALILEO GALILEI                                                         ,9,TLALPAN,HEROES DE PADIERNA,BACHILLERATO GENERAL DE 3 AÑOS,PARTICULAR
09PCT0001C     ,INSTITUTO LEONARDO BRAVO\\ A. C. PLANTEL CENTRO                                  ,9,CUAUHTEMOC,SAN RAFAEL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0002B     ,CENTRO UNIVERSITARIO GRUPO SOL\\ CEM\\ PLANTEL SANTO TOMAS                        ,9,MIGUEL HIDALGO,AGRICULTURA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0003A     ,UNIVERSIDAD ISEC                                                                ,9,BENITO JUAREZ,DEL VALLE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0004Z     ,CENTRO DE ESTUDIOS TECNICOS GANTE                                               ,9,MIGUEL HIDALGO,POLANCO REFORMA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0005Z     ,COLEGIO INGLES MICHAEL FARADAY A.C.                                             ,9,MIGUEL HIDALGO,ANAHUAC I,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0006Y     ,COLEGIO CARNEGIE                                                                ,9,CUAUHTEMOC,ROMA SUR,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0007X     ,INSTITUTO TECNICO DE CAPACITACION DEL SUTGDF                                    ,9,CUAUHTEMOC,CENTRO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0008W     ,ESCUELA PANAMERICANA DE HOTELERIA                                               ,9,BENITO JUAREZ,DEL VALLE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0009V     ,CENTRO EDUCACIONAL Y CONSULTORIA INFORMATICA\\ S.C.                              ,9,CUAUHTEMOC,SANTA MARIA LA RIBERA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0013H     ,INSTITUTO ICEL PLANTEL TLALPAN-COYOACAN                                         ,9,TLALPAN,EX EJIDO DE HUIPULCO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0016E     ,CENTRO ESCOLAR YAOCALLI                                                         ,9,TLALPAN,MIGUEL HIDALGO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0017D     ,BACHILLERATO TECNOLOGICO VILLANUEVA MONTAÑO                                     ,9,COYOACAN,XOTEPINGO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0020R     ,ESCUELA INTERNACIONAL DE NUEVAS PROFESIONES SENDA 2000                          ,9,XOCHIMILCO,BARRIO EL ROSARIO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0021Q     ,CENTRO DE ESTUDIOS ZEFERINO AGUIRRE\\ S.C.                                       ,9,CUAUHTEMOC,SANTA MARIA LA RIBERA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0022P     ,BACHILLERATO UNIVERSIDAD TECNOLOGICA AMERICANA                                  ,9,CUAUHTEMOC,ROMA SUR,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0023O     ,AERONACIONAL BACHILLERATO DE AVIACION                                           ,9,VENUSTIANO CARRANZA,FEDERAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0024N     ,INSTITUTO DE ESTUDIOS PROFESIONALES GUADALUPE                                   ,9,GUSTAVO A. MADERO,TEPEYAC INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0025M     ,INSTITUTO DE CONTABILIDAD E INFORMATICA                                         ,9,COYOACAN,EL CARMEN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0027K     ,CENTRO DE ESTUDIOS TECNOLOGICOS MANCHESTER                                      ,9,CUAUHTEMOC,VALLE GOMEZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0028J     ,TECNOLOGICO UNIVERSITARIO S. C.                                                 ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO GENERAL ABIERTO,PARTICULAR
09PCT0029I     ,CENTRO DE ESTUDIOS DE COMPUTO CAFETALES                                         ,9,COYOACAN,RESIDENCIAL CAFETALES,BACHILLERATO GENERAL ABIERTO,PARTICULAR
09PCT0030Y     ,ESCUELA DE ENFERMERIA GENERAL INSTITUTO MARILLAC                                ,9,ALVARO OBREGON,TIZAPAN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0032W     ,ESCUELA INTERNACIONAL DE NUEVAS PROFESIONES SENDA 2000                          ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0033V     ,TECNOLOGICO FEMENINO DE ORIENTE                                                 ,9,IZTAPALAPA,SAN LORENZO XICOTENCATL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0034U     ,CENTRO DE ESTUDIOS UNIVERSITARIOS LONDRES                                       ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0035T     ,CENTRO DE ESTUDIOS UNIVERSITARIOS DE LA CIUDAD DE MEXICO                        ,9,BENITO JUAREZ,MIXCOAC,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0038Q     ,BACHILLERATO TECNOLOGICO MOCTEZUMA                                              ,9,VENUSTIANO CARRANZA,JARDIN BALBUENA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0041D     ,INSTITUTO FUNDACION AZTECA                                                      ,9,GUSTAVO A. MADERO,SANTA ISABEL TOLA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0043B     ,INSTITUTO ACTIVO DE MERCADOTECNIA Y PUBLICIDAD                                  ,9,CUAUHTEMOC,SAN RAFAEL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0044A     ,INSTITUTO FLEMING PLANTEL IZTAPALAPA                                            ,9,IZTAPALAPA,SAN PABLO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0046Z     ,INSTITUTO FLEMING PLANTEL SAN ANGEL                                             ,9,ALVARO OBREGON,SAN ANGEL INN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0047Y     ,INSTITUTO FLEMING\\ PLANTEL TAXQUEÑA                                             ,9,COYOACAN,CAMPESTRE CHURUBUSCO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0049W     ,INSTITUTO FLEMING PLANTEL LA VILLA                                              ,9,GUSTAVO A. MADERO,TEPEYAC INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0050L     ,COLEGIO ALEMAN ALEXANDER VON HUMBOLDT\\ A.C.                                     ,9,XOCHIMILCO,HUICHAPAN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0051K     ,INSTITUTO FLEMING PLANTEL LA VILLA (2)                                          ,9,GUSTAVO A. MADERO,TEPEYAC INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0052J     ,INSTITUTO FLEMING PLANTEL ZARAGOZA                                              ,9,VENUSTIANO CARRANZA,PUEBLA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0053I     ,INSTITUTO FLEMING PLANTEL ZONA ROSA                                             ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0055G     ,INSTITUTO LONDRES                                                               ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0056F     ,TECNOLOGICO SANTANDER                                                           ,9,MIGUEL HIDALGO,TACUBA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0057E     ,COLEGIO CITLALLI FRANCO INGLES SOCIEDAD CIVIL                                   ,9,GUSTAVO A. MADERO,SAN JUAN DE ARAGON,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0058D     ,INSTITUTO MEXICANO DE EDUCACION PROFESIONAL\\ S.C.                               ,9,IZTAPALAPA,SANTA MARTHA ACATITLA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0066M     ,INSTITUTO MEXICANO DE EDUCACION PROFESIONAL                                     ,9,IZTAPALAPA,LOS ANGELES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0071Y     ,INSTITUTO TECNOLOGICO MEXICANO                                                  ,9,CUAUHTEMOC,OBRERA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0073W     ,CENTRO UNIVERSITARIO GRUPO SOL CEM\\ S.C. PLANTEL SANTO TOMAS                    ,9,CUAUHTEMOC,CENTRO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0074V     ,INSTITUTO DE ENSEÑANZA SUPERIOR EN CONTADURIA Y ADMINISTRACI                    ,9,BENITO JUAREZ,ALAMOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0082D     ,INSTITUTO JOSE RAMON LOPEZ                                                      ,9,GUSTAVO A. MADERO,VALLEJO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0084B     ,ESCUELA ESTEFANIA CASTAÑEDA                                                     ,9,IZTACALCO,AGRICOLA ORIENTAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0085A     ,CENTRO UNIVERSITARIO GRUPO SOL EPCA\\ S.C. PLANTEL CUAUHTEMOC                    ,9,CUAUHTEMOC,DOCTORES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0086Z     ,CENTRO DE ESTUDIOS SUPERIORES FRANCES MEXICANO                                  ,9,CUAUHTEMOC,SANTA MARIA LA RIBERA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0089X     ,BACHILLERATO TECNOLOGICO WINDSOR                                                ,9,VENUSTIANO CARRANZA,VALENTIN GOMEZ FARIAS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0091L     ,ESCUELA PARA EDUCADORES DE LA CIUDAD DE MEXICO                                  ,9,COYOACAN,EL CARMEN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0113G     ,INSTITUTO PANAMERICANO DE AERONAUTICA Y DESARROLLO                              ,9,GUSTAVO A. MADERO,GUADALUPE INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0114F     ,COLEGIO AMAUTA                                                                  ,9,GUSTAVO A. MADERO,VILLA DE ARAGON,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0117C     ,LA VILLA ENGLISH ACADEMIA\\ PLANTEL AZCAPOTZALCO                                 ,9,AZCAPOTZALCO,AZCAPOTZALCO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0119A     ,BACHILLERATO TECNOLOGICO AZTLAN                                                 ,9,BENITO JUAREZ,INSURGENTES MIXCOAC,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0121P     ,CENTRO DE ESTUDIOS TURISTICOS\\ A.C.                                             ,9,BENITO JUAREZ,NARVARTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0122O     ,BACHILLERATO TECNOLOGICO DE LAS TRES CULTURAS\\ PLANTEL ZONA ROSA                ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0124M     ,BACHILLERATO TECNOLOGICO DE LAS TRES CULTURAS\\ PLANTEL LONDRES                  ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0127J     ,ESCUELA MUNDIAL\\ S.C.                                                           ,9,TLALPAN,SAN PEDRO MARTIR,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0129H     ,INSTITUTO ALBERTO SANTOS DUMONT                                                 ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0131W     ,ESCUELA JUAN SEBASTIAN DE ELCANO                                                ,9,CUAUHTEMOC,DOCTORES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0132V     ,CENTRO DE ESTUDIOS TECNOLOGICOS EN COMPUTACION MEXICO                           ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0133U     ,CENTRO DE ESTUDIOS DE LA COMUNICACION SOCIAL                                    ,9,CUAUHTEMOC,ROMA SUR,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0135S     ,INSTITUTO BONAMPAK                                                              ,9,TLALPAN,RESIDENCIAL VILLA COAPA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0138P     ,BACHILLERATO TECNOLOGICO JUSTO SIERRA\\ A.C.                                     ,9,CUAUHTEMOC,SANTA MARIA INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0140D     ,ESCUELA COMERCIAL DE LA CIUDAD DE MEXICO                                        ,9,MIGUEL HIDALGO,ESCANDON,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0141C     ,ESCUELA COMERCIAL DE LA CIUDAD DE MEXICO                                        ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0142B     ,ESCUELA DE AVIACION MEXICO                                                      ,9,VENUSTIANO CARRANZA,FEDERAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0144Z     ,ESCUELA DE INTERPRETES Y TRADUCTORES                                            ,9,COYOACAN,PETROLERA TAXQUEÑA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0146Y     ,INSTITUTO DONCELES DE ESTUDIOS INTENSIVOS\\ S.C.                                 ,9,BENITO JUAREZ,ALAMOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0148W     ,CENTRO UNIVERSITARIO SAN ANGEL                                                  ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0151J     ,LUCIO MENDIETA Y NUÑEZ                                                          ,9,BENITO JUAREZ,ALAMOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0152I     ,UNIVERSIDAD INSURGENTES PLANTEL VIADUCTO\\ S.C.                                  ,9,BENITO JUAREZ,MODERNA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0156E     ,INSTITUTO ICEL ZONA ROSA                                                        ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0157D     ,ESCUELA COPILCO                                                                 ,9,ALVARO OBREGON,CHIMALISTAC,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0159B     ,INSTITUTO CESAR RITZ                                                            ,9,CUAUHTEMOC,ROMA SUR,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0160R     ,COLEGIO MODERNO ALARID                                                          ,9,BENITO JUAREZ,SAN PEDRO DE LOS PINOS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0163O     ,COLEGIO BOSTON DE MEXICO                                                        ,9,BENITO JUAREZ,PORTALES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0164N     ,CENTRO DE ESTUDIOS TECNICOS INTERNACIONALES DE TURISMO                          ,9,BENITO JUAREZ,DEL VALLE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0165M     ,UNIVERSIDAD INSURGENTES PLANTEL SUR                                             ,9,BENITO JUAREZ,NATIVITAS,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0166L     ,INSTITUTO LEONARDO BRAVO\\ A.C. PLANTEL LA RAZA                                  ,9,CUAUHTEMOC,PERALVILLO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0168J     ,INSTITUTO YACATIA                                                               ,9,GUSTAVO A. MADERO,LINDAVISTA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0171X     ,INSTITUTO CARLOS LINDBERGH\\ S.C.                                                ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0172W     ,BACHILLERATO TECNOLOGICO CAPACITACION                                           ,9,COYOACAN,EL CARMEN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0175T     ,ESCUELA COMERCIAL CAMARA DE COMERCIO                                            ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0176S     ,CECATP LIBERTADORES DE AMERICA                                                  ,9,TLALPAN,UNIDAD HAB LORETO PEÑA POBRE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0181D     ,ESCUELA DE ENFERMERIA HELEN KELLER                                              ,9,GUSTAVO A. MADERO,MAXIMINO AVILA CAMACHO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0182C     ,COLEGIO QUETZAL                                                                 ,9,IZTACALCO,AGRICOLA ORIENTAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0183B     ,INSTITUTO ESPECIALIZADO EN COMPUTACION Y ADMINISTRACION GAUSS JORDAN            ,9,GUSTAVO A. MADERO,VALLEJO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0184A     ,BACHILLERATO TECNICO VICENTA MARIA VIMA                                         ,9,BENITO JUAREZ,SAN JOSE INSURGENTES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0186Z     ,CENTRO DE TECNOLOGIA E INFORMATICA                                              ,9,COYOACAN,SANTA URSULA COAPA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0187Y     ,UNIVERSIDAD LATINA                                                              ,9,CUAUHTEMOC,ROMA NORTE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0188X     ,CENTRO DE APRENDIZAJE W. EDWARDS DEMING                                         ,9,IZTACALCO,PANTITLAN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0189W     ,COLEGIO DEL VALLE DE MEXICO                                                     ,9,CUAUHTEMOC,CENTRO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0190L     ,BACHILLERATO TECNOLOGICO FREINET                                                ,9,TLAHUAC,BARRIO SAN MATEO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0191K     ,CENTRO TECNOLOGICO DE ESTUDIOS SUPERIORES DEL VALLE DE MEXICO                   ,9,MIGUEL HIDALGO,ESCANDON,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0193I     ,CENTRO DE FORMACION COYOACAN                                                    ,9,COYOACAN,CAMPESTRE COYOACAN,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0195G     ,INSTITUTO TECNOLOGICO ROOSEVELT                                                 ,9,COYOACAN,CAMPESTRE CHURUBUSCO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0196F     ,CENTRO DE ESTUDIOS DE COMPUTO CAFETALES\\ S.C.                                   ,9,COYOACAN,RESIDENCIAL CAFETALES,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0197E     ,CENTRO DE ESTUDIOS TECNICOS EN ADMINISTRACION\\ COMPUTACION Y                    ,9,IZTAPALAPA,JUAN ESCUTIA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0200B     ,INSTITUTO TECNOLOGICO ROOSEVELT                                                 ,9,IZTAPALAPA,EL MANTO,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0201A     ,INSTITUTO TECNOLOGICO ROOSEVELT                                                 ,9,CUAUHTEMOC,JUAREZ,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0204Y     ,INSTITUTO CULTURAL DE DERECHOS HUMANOS                                          ,9,IZTAPALAPA,AMPLIACION SANTA MARTHA,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0207V     ,ESCUELA INTERNACIONAL DE NUEVAS PROFESIONES SENDA 2000                          ,9,GUSTAVO A. MADERO,INDUSTRIAL,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0209T     ,INSTITUTO TECNOLOGICO SAN FRANCISCO                                             ,9,TLAHUAC,SELENE,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
09PCT0210I     ,INSTITUTO JUANA DE ARCO                                                         ,9,IZTAPALAPA,CITLALI,BACHILLERATO TECNOLOGICO INDUSTRIAL Y DE SERVICIOS,PARTICULAR
